Date,Time,Description,Type,Amount,Balance,Mode,Ref
11-02-2024,17:59,UPI-SWIGGY-1309@HDFCBANK,Debit,259,452849,UPI,TXN475479
11-Feb-24,19:55,UBER INDIA,DR,366,454889,UPI,TXN408467
11-02-2024,20:33,POS SWIGGY BANGALORE,Debit,₹292,452557,UPI,TXN323717
11-02-2024,23:04,AMAZON IN,Debit,"1,781.00",453108,UPI,TXN367403
12-Feb-24,02:45,UPI-RAPIDO@OKAXIS,DR,Rs. 119,449888,UPI,TXN573039
12-Feb-24,03:14,POS MYNTRA,Debit,₹3026,445177,UPI,TXN804313
12-02-2024,04:36,SWIGGY-INSTAMART,Debit,485,448203,UPI,TXN992819
12-Feb-24,04:53,NETFLIX ENTERTAINMENT,DR,Rs. 526,496719,UPI,TXN217301
12-Feb-24,13:01,UPI-UBER-5667@HDFCBANK,DR,₹339,449549,UPI,TXN627262
12-Feb-24,15:13,FSN E-COMMERCE,Debit,1273,450007,UPI,TXN883171
12-02-2024,17:02,UBER SYSTEMS INDIA,Debit,Rs. 489,451978,UPI,TXN907921
12-Feb-24,18:54,POS STARBUCKS BANGALORE,Debit,₹371,448688,UPI,TXN682032
12-02-2024,20:19,BHIM SWIGGY,DR,Rs. 490,449059,UPI,TXN243006
12-02-2024,20:28,UPI-BLINKIT-2630@PAYTM,DR,698,451280,UPI,TXN664107
13-Feb-24,09:34,UPI-RESTAURANT-7678@PAYTM,DR,702,440731,UPI,TXN906564
13-Feb-24,11:22,ATM-WDL-HDFC-4942,DR,₹5000,-746917,ATM,TXN271319
13-Feb-24,18:09,Uber*Trip,DR,429,444399,UPI,TXN771967
13-Feb-24,20:08,Amazon Pay India,DR,₹2966,441433,UPI,TXN394247
13-02-2024,20:31,UPI-SWIGGY1616@OKAXIS,DR,Rs. 349,444828,UPI,TXN746281
14-02-2024,09:36,UPI-NEHA-9795@OKAXIS,Debit,"2,425.00",-766586,UPI,TXN668178
14-02-2024,11:13,FLIPKART INDIA,DR,"Rs. 2,719",435759,UPI,TXN700067
14-02-2024,12:58,SWIGGY-INSTAMART,DR,₹294,438786,UPI,TXN273650
14-02-2024,13:34,RELIANCE JIO,Debit,Rs. 475,440256,UPI,TXN194952
14-Feb-24,15:42,INSTAMART BANGALORE,DR,Rs. 424,439832,UPI,TXN476224
14-02-2024,18:17,ZOMATO BENGALURU,DR,Rs. 308,438478,UPI,TXN218844
14-02-2024,19:06,BUNDL Tech P L,Debit,540,439080,UPI,TXN976052
14-02-2024,20:14,BUNDL Tech P L,Debit,212,439620,UPI,TXN148693
15-Feb-24,04:56,UPI-SPOTIFY-IN@AXIS,Debit,119,496600,UPI,TXN658582
15-Feb-24,05:24,OLA CABS,Debit,317,434278,UPI,TXN286040
15-Feb-24,14:02,UPI-AMAZONPAY@HDFCBANK,DR,"4,373.00",429905,UPI,TXN780768
15-02-2024,20:10,BIGTREE ENTERTAINMENT,Debit,474,434595,UPI,TXN575497
15-Feb-24,22:33,ZOMATO-DINING,Debit,₹690,435069,UPI,TXN735988
16-02-2024,07:40,BHIM-BMTC,Debit,₹10,424326,UPI,TXN139589
16-Feb-24,10:23,UPI-RAPIDO@OKAXIS,Debit,62,425573,UPI,TXN516760
16-Feb-24,11:50,UPI-STARBUCKS@AXIS,Debit,Rs. 467,425106,UPI,TXN244775
16-Feb-24,19:47,POS TRUFFLES,Debit,770,424336,UPI,TXN817817
16-02-2024,20:44,AMAZON IN,DR,₹3764,426141,UPI,TXN903061
16-02-2024,21:18,UPI-ZOMATO4177@OKICICI,DR,Rs. 506,425635,UPI,TXN315397
17-02-2024,08:52,UPI-BESCOM-BILL@HDFCBANK,Debit,"Rs. 1,366",420565,UPI,TXN685766
17-02-2024,09:41,BIGBASKET BANGALORE,Debit,₹1517,422809,UPI,TXN788793
17-02-2024,11:52,UPI-AMAZONPAY@HDFCBANK,DR,13674,-611841,UPI,TXN649317
17-02-2024,12:12,INNOVATIVE RETAIL,Debit,₹518,422291,UPI,TXN265092
17-02-2024,12:25,SWIGGY-INSTAMART,DR,360,421931,UPI,TXN686273
17-Feb-24,12:34,POS INSTAMART,DR,₹189,419114,UPI,TXN429119
17-Feb-24,13:07,BUNDL Tech P L,Debit,591,419974,UPI,TXN894268
17-Feb-24,20:43,BHIM-BLINKIT,DR,₹671,419303,UPI,TXN431067
17-02-2024,21:17,BLINKIT BANGALORE,DR,387,418727,UPI,TXN976960
18-Feb-24,03:06,POS DINEOUT,Debit,₹1714,412890,UPI,TXN477808
18-02-2024,08:58,POS SWIGGY-RESTAURANT,Debit,Rs. 220,418507,UPI,TXN702427
18-Feb-24,09:09,Amazon Pay India,Debit,"Rs. 1,475",414604,UPI,TXN689444
18-Feb-24,10:25,TATA STARBUCKS,DR,363,416079,UPI,TXN682316
18-02-2024,17:48,UPI-RESTAURANT-3715@PAYTM,Debit,"Rs. 1,346",417161,UPI,TXN626883
18-02-2024,18:16,BHIM ZEPTO,DR,₹341,416442,UPI,TXN834750
18-Feb-24,21:49,GROFERS INDIA P L,DR,Rs. 378,416783,UPI,TXN205641
19-Feb-24,06:01,UPI-BIGBASKET@HDFCBANK,DR,₹1293,411597,UPI,TXN440881
19-02-2024,09:25,UPI-STARBUCKS@AXIS,Debit,272,410700,UPI,TXN208976
19-02-2024,10:41,ZOMATO-DINING,DR,₹676,410024,UPI,TXN136862
19-Feb-24,14:47,UPI-RAPIDO@OKAXIS,DR,149,411448,UPI,TXN542306
19-Feb-24,16:54,UPI-UBER-1232@HDFCBANK,Debit,Rs. 176,411272,UPI,TXN566509
19-Feb-24,20:20,RAPIDO BIKE TAXI,DR,Rs. 156,409868,UPI,TXN885290
19-Feb-24,20:47,POS CAFE COFFEE DAY,DR,300,410972,UPI,TXN834733
20-Feb-24,03:08,STAR INDIA PVT LTD,DR,"Rs. 1,272",495328,UPI,TXN804314
20-02-2024,05:48,AMZN-INTPYMT,DR,₹2477,405673,UPI,TXN767830
20-02-2024,08:09,BMTC BUS PASS,Debit,10,401383,UPI,TXN446290
20-Feb-24,10:00,POS ZEPTO BANGALORE,Debit,₹711,408150,UPI,TXN183057
20-02-2024,10:44,AMAZON IN,DR,₹4280,401393,UPI,TXN559713
20-02-2024,15:40,POS OLA-PRIME,Debit,₹393,409475,UPI,TXN418319
20-02-2024,18:48,POS SWIGGY BANGALORE,Debit,614,408861,UPI,TXN936726
20-Feb-24,20:09,BUNDL Tech P L,Debit,208,401175,UPI,TXN227885
21-Feb-24,02:31,POS NYKAA BANGALORE,Debit,₹1353,398709,UPI,TXN496119
21-02-2024,02:36,POS FLIPKART BANGALORE,Debit,"2,928.00",393661,UPI,TXN113721
21-02-2024,03:46,INNOVATIVE RETAIL,DR,₹536,400614,UPI,TXN799080
21-02-2024,08:40,POS ZOMATO,DR,₹422,400192,UPI,TXN921533
21-02-2024,08:57,GROFERS INDIA P L,DR,Rs. 240,398469,UPI,TXN591147
21-02-2024,09:01,POS BLINKIT,Debit,834,396918,UPI,TXN902930
21-02-2024,12:28,TUMMOC-BMTC,DR,25,401150,UPI,TXN427270
21-02-2024,12:28,TUMMOC-BMTC,DR,25,401150,UPI,TXN427270
21-02-2024,17:20,POS OLA-PRIME,DR,₹329,396589,UPI,TXN212255
21-02-2024,18:09,UPI-RAPIDO@OKAXIS,DR,130,400062,UPI,TXN835395
21-02-2024,21:58,ZEPTO MARKETPLACE,Debit,717,397752,UPI,TXN630535
22-02-2024,03:18,UPI-SWIGGY-5933@HDFCBANK,DR,Rs. 485,390692,UPI,TXN909000
22-Feb-24,11:25,POS ZOMATO,Debit,458,391708,UPI,TXN985893
22-02-2024,12:02,UPI-RESTAURANT-0251@PAYTM,DR,₹444,392591,UPI,TXN651752
22-02-2024,12:19,UPI-ZOMATO3977@OKICICI,Debit,247,389012,UPI,TXN823092
22-Feb-24,16:11,Uber*Trip,Debit,Rs. 425,392166,UPI,TXN209159
22-Feb-24,18:56,UPI-ZOMATO-LIMITED@PAYTM,Debit,626,393035,UPI,TXN161132
22-02-2024,19:17,POS MEGHANA FOODS,Debit,₹1433,389259,UPI,TXN710434
22-02-2024,20:06,UPI-RAPIDO@OKAXIS,Debit,111,388901,UPI,TXN536754
22-02-2024,20:27,BHIM-BLINKIT,Debit,Rs. 531,391177,UPI,TXN516379
23-Feb-24,04:25,UPI-OLACABS@HDFCBANK,Debit,Rs. 254,387998,UPI,TXN783932
23-02-2024,07:43,RAPIDO BIKE TAXI,Debit,Rs. 135,388252,UPI,TXN598969
23-Feb-24,12:38,UPI-BLINKIT-7138@PAYTM,Debit,Rs. 871,386739,UPI,TXN957915
23-02-2024,16:47,OLA CABS,DR,Rs. 388,387610,UPI,TXN483010
23-02-2024,18:24,UPI-RAPIDO@OKAXIS,Debit,169,385323,UPI,TXN108739
23-Feb-24,19:09,ZOMATO MEDIA P L,DR,587,386152,UPI,TXN114400
23-Feb-24,19:42,UPI-SWIGGY8086@OKAXIS,DR,Rs. 616,384707,UPI,TXN844162
23-02-2024,20:19,GROFERS INDIA P L,Debit,660,385492,UPI,TXN248213
23-02-2024,20:47,UPI-SWIGGY-6605@HDFCBANK,Debit,₹514,388387,UPI,TXN626806
24-Feb-24,12:36,RAPIDO BIKE TAXI,DR,74,381238,UPI,TXN817276
24-Feb-24,17:01,FKART INTRNET,Debit,"1,720.00",382747,UPI,TXN505977
24-02-2024,19:01,DISNEY HOTSTAR,Debit,"1,435.00",381312,UPI,TXN755910
24-02-2024,21:34,ZEPTO MARKETPLACE,DR,Rs. 240,384467,UPI,TXN449773
25-Feb-24,04:28,AMAZON PRIME VIDEO,DR,₹1238,494090,UPI,TXN842225
25-Feb-24,06:49,UPI-BIGBASKET@HDFCBANK,DR,₹834,378778,UPI,TXN127351
25-02-2024,13:45,POS DINEOUT,DR,"1,372.00",379866,UPI,TXN854388
25-Feb-24,13:56,UPI-SWIGGY-7844@HDFCBANK,Debit,254,379612,UPI,TXN767782
25-02-2024,15:48,UPI-SWIGGY-1487@HDFCBANK,Debit,Rs. 502,375549,UPI,TXN742917
25-02-2024,15:56,UPI-OLACABS@HDFCBANK,DR,Rs. 480,376051,UPI,TXN870881
25-02-2024,16:00,POS ZOMATO,DR,673,377768,UPI,TXN560623
25-02-2024,17:20,POS DINEOUT,Debit,1237,376531,UPI,TXN699716
25-02-2024,19:30,BHIM-BLINKIT,Debit,₹337,378441,UPI,TXN302647
26-Feb-24,07:08,UPI-UBER-6248@HDFCBANK,DR,Rs. 243,373348,UPI,TXN327408
26-Feb-24,08:02,BHIM-BLINKIT,Debit,₹883,372119,UPI,TXN398194
26-Feb-24,13:42,UPI-BESCOM-BILL@HDFCBANK,Debit,1107,373591,UPI,TXN402808
26-02-2024,14:26,UPI-OLACABS@HDFCBANK,DR,₹346,373002,UPI,TXN785010
26-Feb-24,17:05,TUMMOC-BMTC,Debit,₹43,374698,UPI,TXN279185
26-Feb-24,18:38,Uber*Trip,DR,Rs. 433,371686,UPI,TXN497346
26-Feb-24,19:45,ZOMATO BENGALURU,DR,₹658,374741,UPI,TXN219710
26-02-2024,20:09,POS BANGALORE RESTAURANT,DR,"8,383.00",-567033,UPI,TXN308266
26-02-2024,20:53,POS BANGALORE RESTAURANT,Debit,"1,427.00",370259,UPI,TXN741784
26-02-2024,21:29,UPI-RAPIDO@OKAXIS,DR,Rs. 150,375399,UPI,TXN126122
27-02-2024,00:01,POS INDIAN OIL BANGALORE,DR,"1,452.00",368457,UPI,TXN768470
27-Feb-24,12:49,UPI-NEHA-5906@OKAXIS,DR,"Rs. 1,860",-717945,UPI,TXN517326
27-Feb-24,17:59,OLA ELECTRIC,DR,₹186,369909,UPI,TXN404598
27-02-2024,19:44,POS ZOMATO,DR,Rs. 344,368113,UPI,TXN515287
27-Feb-24,23:33,ANI Technologies,Debit,Rs. 164,370095,UPI,TXN650912
28-Feb-24,02:11,UBER SYSTEMS INDIA,DR,Rs. 239,367874,UPI,TXN757667
28-02-2024,04:23,MYNTRA DESIGNS,DR,653,362191,UPI,TXN868020
28-Feb-24,04:43,POS NYKAA BANGALORE,Debit,1758,363121,UPI,TXN698717
28-02-2024,07:12,DISNEY HOTSTAR,DR,₹885,360503,UPI,TXN753205
28-02-2024,07:20,UPI-NETFLIX-MEMB@HDFCBANK,DR,272,361919,UPI,TXN647718
28-02-2024,08:07,POS OLA-PRIME,Debit,277,362844,UPI,TXN326639
28-02-2024,13:02,BHIM SWIGGY,Debit,531,361388,UPI,TXN769883
28-Feb-24,20:57,Amazon Pay India,Debit,"2,995.00",364879,UPI,TXN682145
29-02-2024,01:07,POS FLIPKART BANGALORE,DR,"Rs. 1,739",357261,UPI,TXN848969
29-Feb-24,03:30,UPI-AMAZONPAY@HDFCBANK,Debit,Rs. 663,359497,UPI,TXN957150
29-Feb-24,10:41,POS THIRD WAVE COFFEE,DR,Rs. 218,357043,UPI,TXN457264
29-Feb-24,13:14,BHIM-BMTC,Debit,24,359000,UPI,TXN575301
29-02-2024,18:35,BUNDL Tech P L,DR,343,360160,UPI,TXN666836
29-Feb-24,20:27,ZOMATO-DINING,DR,601,356442,UPI,TXN977394
29-02-2024,20:51,UPI-ZOMATO-LIMITED@PAYTM,Debit,Rs. 473,359024,UPI,TXN775721
01-03-2024,01:41,POS SWIGGY BANGALORE,DR,188,354352,UPI,TXN578180
01-03-2024,09:35,NEFT-TECHCRUSH LABS-SALARY MAY24,CR,"Rs. 84,701",576808,NEFT,TXN214576
01-Mar-24,13:24,BHIM ZEPTO,Debit,₹595,354540,UPI,TXN802615
01-03-2024,13:35,ANI Technologies,Debit,169,356273,UPI,TXN164468
01-03-2024,17:03,BHIM-BLINKIT,DR,200,355135,UPI,TXN755584
01-Mar-24,20:43,KIRANAKART TECH,Debit,461,355335,UPI,TXN165442
01-03-2024,20:56,UPI-SWIGGY-7642@HDFCBANK,Debit,477,355796,UPI,TXN431976
02-Mar-24,01:46,IMPS ZERODHA-COIN,DR,"Rs. 15,000",338420,UPI,TXN707784
02-Mar-24,01:59,POS ZEPTO BANGALORE,DR,761,336962,UPI,TXN405925
02-03-2024,02:21,UPI-ZEPTO-4547@HDFCBANK,Debit,697,337723,UPI,TXN408929
02-Mar-24,05:09,BLINKIT BANGALORE,Debit,₹809,335271,UPI,TXN705822
02-03-2024,10:41,UPI-STARBUCKS@AXIS,DR,355,334916,UPI,TXN597643
02-03-2024,11:37,POS SWIGGY BANGALORE,DR,558,336080,UPI,TXN134697
02-Mar-24,11:58,AMAZON IN,Debit,18273,-558650,UPI,TXN228115
02-Mar-24,12:32,POS TRUFFLES,Debit,₹851,353420,UPI,TXN604923
02-03-2024,15:18,UPI-THIRDWAVE@OKAXIS,Debit,₹324,336638,UPI,TXN877444
02-03-2024,21:39,RAPIDO BIKE TAXI,DR,₹81,354271,UPI,TXN622355
03-03-2024,00:00,UPI-ZEPTO-4563@HDFCBANK,Debit,₹219,331958,UPI,TXN749485
03-Mar-24,10:18,FSN E-COMMERCE,Debit,"Rs. 2,238",332678,UPI,TXN783740
03-03-2024,13:12,IMPS-RENT-LANDLORD-51148088,DR,18000,558808,IMPS,TXN976638
03-03-2024,13:17,UPI-RESTAURANT-6377@PAYTM,DR,501,332177,UPI,TXN288656
03-03-2024,22:42,Swiggy*Order,DR,637,331321,UPI,TXN779378
03-Mar-24,22:57,OLA CABS,Debit,176,331145,UPI,TXN800007
04-Mar-24,08:31,UBER INDIA,Debit,₹195,330517,UPI,TXN176461
04-03-2024,08:34,COFFEE DAY GLOBAL,DR,241,329497,UPI,TXN456581
04-03-2024,09:04,UPI-ZEPTO-3309@HDFCBANK,Debit,₹433,330712,UPI,TXN310416
04-03-2024,15:49,ANI Technologies,DR,371,329738,UPI,TXN957710
04-03-2024,16:12,POS TRUFFLES,DR,₹7441,-472880,UPI,TXN830484
04-03-2024,16:53,UPI-ZEPTO-0070@HDFCBANK,DR,610,325248,UPI,TXN648530
04-Mar-24,17:49,Swiggy*Order,Debit,328,329169,UPI,TXN476712
04-03-2024,20:49,UPI-SWIGGY-8169@HDFCBANK,Debit,408,330109,UPI,TXN510339
04-03-2024,21:28,FLIPKART INDIA,Debit,"3,311.00",325858,UPI,TXN774661
05-03-2024,05:19,UPI-ZOMATO-LIMITED@PAYTM,DR,620,324534,UPI,TXN745533
05-Mar-24,09:51,AMZN PRIME,DR,"1,153.00",322350,UPI,TXN139448
05-03-2024,14:21,UPI-CCD@HDFCBANK,DR,166,323996,UPI,TXN142675
05-03-2024,20:09,UPI-RAPIDO@OKAXIS,DR,94,325154,UPI,TXN115063
05-03-2024,20:27,ZOMATO MEDIA P L,DR,372,324162,UPI,TXN323589
05-Mar-24,20:40,SWIGGY-INSTAMART,DR,493,323503,UPI,TXN722571
05-Mar-24,21:33,UPI-AMAZONPAY@HDFCBANK,Debit,"19,917.00",-465439,UPI,TXN674071
05-Mar-24,21:33,UPI-AMAZONPAY@HDFCBANK,Debit,"19,917.00",-465439,UPI,TXN674071
06-Mar-24,04:21,AMZN-INTPYMT,DR,"2,051.00",315359,UPI,TXN340860
06-03-2024,11:40,FLIPKART INDIA,Debit,₹3000,319300,UPI,TXN145209
06-Mar-24,14:13,BUNDL Tech P L,DR,₹402,318898,UPI,TXN923648
06-03-2024,15:29,ZOMATO BENGALURU,DR,₹568,317410,UPI,TXN588148
06-Mar-24,17:05,BMTC BUS PASS,DR,50,322300,UPI,TXN665940
06-03-2024,18:04,Swiggy*Order,Debit,₹638,318260,UPI,TXN338846
06-03-2024,20:55,SWIGGY-INSTAMART,Debit,282,317978,UPI,TXN577092
06-03-2024,22:21,UPI-VIKAS-5416@OKAXIS,Debit,"1,860.00",-701388,UPI,TXN249522
07-03-2024,00:42,UPI-BOOKMYSHOW@HDFCBANK,Debit,₹562,311487,UPI,TXN837290
07-03-2024,10:02,UPI-ZERODHA-COIN@AXIS,DR,₹15000,543808,UPI,TXN509386
07-Mar-24,12:21,POS BPCL PETROL PUMP,DR,₹7366,-338165,UPI,TXN767155
07-03-2024,14:09,UPI-HOTSTAR@AXIS,DR,"Rs. 1,473",312375,UPI,TXN949049
07-03-2024,17:13,POS TRUFFLES,DR,"Rs. 1,511",313848,UPI,TXN333210
07-03-2024,18:28,UPI-THIRDWAVE@OKAXIS,DR,₹326,312049,UPI,TXN779099
08-03-2024,00:23,AMAZONIN MARKETPLACE,Debit,₹1685,308194,UPI,TXN601736
08-Mar-24,08:25,ATM-WDL-HDFC-9140,DR,"Rs. 2,000",-741917,ATM,TXN849646
08-03-2024,10:29,TWC INDIA,DR,380,311107,UPI,TXN831963
08-Mar-24,12:53,Amazon Pay India,Debit,1255,306612,UPI,TXN948083
08-Mar-24,13:50,AVENUE SUPERMARTS,Debit,₹1228,309879,UPI,TXN483349
08-03-2024,17:55,POS STARBUCKS BANGALORE,Debit,₹327,307867,UPI,TXN461996
08-03-2024,21:12,POS INDIAN OIL BANGALORE,DR,₹1437,305175,UPI,TXN255141
09-03-2024,02:51,UPI-ZOMATO6436@OKICICI,Debit,318,304647,UPI,TXN655919
09-Mar-24,09:50,ATM-WDL-SBI-4080,Debit,₹5000,-729544,ATM,TXN970962
09-03-2024,12:10,POS SWIGGY BANGALORE,DR,₹496,302690,UPI,TXN432006
09-03-2024,12:40,NETFLIX.COM,Debit,210,304965,UPI,TXN405677
09-03-2024,13:23,OLA CABS,Debit,214,302476,UPI,TXN659565
09-Mar-24,16:19,POS DINEOUT,Debit,"1,461.00",303186,UPI,TXN149617
09-Mar-24,22:25,ZEPTO MARKETPLACE,Debit,₹661,301815,UPI,TXN403905
10-Mar-24,01:37,UPI-IOC0494@HDFCBANK,Debit,"2,048.00",297886,UPI,TXN243578
10-03-2024,01:47,BMS MOVIE TICKETS,DR,620,296258,UPI,TXN118397
10-Mar-24,02:39,Swiggy*Order,DR,610,300910,UPI,TXN305222
10-03-2024,10:03,UPI-RESTAURANT-4630@PAYTM,Debit,599,295659,UPI,TXN473276
10-03-2024,13:24,BHIM-BMTC,DR,33,300351,UPI,TXN877548
10-Mar-24,18:28,BHIM SWIGGY,DR,Rs. 526,300384,UPI,TXN255132
10-03-2024,19:18,BMS MOVIE TICKETS,DR,Rs. 417,299934,UPI,TXN650818
10-03-2024,21:18,ZOMATO-DINING,Debit,483,297403,UPI,TXN261505
10-03-2024,22:53,ZOMATO-DINING,DR,525,296878,UPI,TXN617000
10-Mar-24,23:42,POS STARBUCKS BANGALORE,Debit,₹295,301520,UPI,TXN677723
11-03-2024,03:13,INNOVATIVE RETAIL,DR,766,293841,UPI,TXN222227
11-03-2024,09:44,POS THIRD WAVE COFFEE,Debit,Rs. 376,294607,UPI,TXN456844
11-Mar-24,18:04,ZEPTO MARKETPLACE,Debit,676,294983,UPI,TXN818240
11-Mar-24,20:34,BESCOM ELEC BILL,Debit,₹2240,539235,UPI,TXN240814
12-03-2024,04:22,IMPS ZERODHA-COIN,DR,"Rs. 15,000",271860,UPI,TXN619900
12-03-2024,04:59,NETFLIX.COM,Debit,₹600,543208,UPI,TXN161324
12-03-2024,08:10,AVENUE SUPERMARTS,DR,"2,430.00",287558,UPI,TXN395548
12-03-2024,11:19,BIGBASKET BANGALORE,Debit,"Rs. 1,865",291976,UPI,TXN880623
12-Mar-24,12:54,POS DINEOUT,Debit,"1,721.00",290255,UPI,TXN181511
12-Mar-24,16:35,UPI-CCD@HDFCBANK,Debit,334,271526,UPI,TXN336845
12-Mar-24,17:27,Swiggy*Order,DR,₹201,290054,UPI,TXN416298
12-03-2024,19:50,ROPPEN TRANSPORTATION,DR,66,289988,UPI,TXN390849
12-Mar-24,20:00,ZOMATO MEDIA P L,Debit,₹698,286860,UPI,TXN806242
13-Mar-24,00:11,AMAZONIN MARKETPLACE,DR,"Rs. 2,732",263449,UPI,TXN680684
13-03-2024,10:25,BHIM SWIGGY,DR,535,270770,UPI,TXN523927
13-03-2024,12:09,UPI-IOC1246@HDFCBANK,DR,"2,072.00",268263,UPI,TXN970645
13-03-2024,12:34,Flipkart Internet,DR,"Rs. 1,707",266181,UPI,TXN494617
13-Mar-24,19:11,UPI-SWIGGY1600@OKAXIS,Debit,₹375,267888,UPI,TXN794255
13-03-2024,21:12,KIRANAKART TECH,DR,Rs. 221,271305,UPI,TXN809381
13-03-2024,21:46,BUNDL Tech P L,Debit,435,270335,UPI,TXN524089
14-03-2024,03:15,INSTAMART BANGALORE,Debit,₹433,262449,UPI,TXN664570
14-03-2024,04:53,UPI-SWIGGY8576@OKAXIS,Debit,Rs. 367,262882,UPI,TXN474725
14-Mar-24,06:21,POS BANGALORE RESTAURANT,DR,Rs. 859,260342,UPI,TXN943187
14-03-2024,07:31,ZEPTO MARKETPLACE,Debit,Rs. 252,261615,UPI,TXN621091
14-Mar-24,14:54,OLA ELECTRIC,Debit,₹200,263249,UPI,TXN164407
14-Mar-24,14:55,BHIM ZEPTO,DR,Rs. 582,261867,UPI,TXN509260
14-03-2024,15:33,POS INDIAN OIL BANGALORE,DR,"Rs. 10,505",-404618,UPI,TXN631778
14-Mar-24,20:34,ATM-WDL-HDFC-8030,DR,"Rs. 1,000",-767586,ATM,TXN854124
14-Mar-24,22:04,UBER INDIA,DR,414,261201,UPI,TXN852570
15-03-2024,06:47,SPOTIFY*PREMIUM,DR,Rs. 119,543089,UPI,TXN992697
15-Mar-24,08:09,MYNTRA DESIGNS,DR,1484,258362,UPI,TXN379901
15-Mar-24,08:52,POS OLA-PRIME,Debit,359,259846,UPI,TXN162790
15-Mar-24,10:26,RAPIDO BIKE TAXI,DR,Rs. 137,260205,UPI,TXN295600
15-03-2024,19:16,POS MEGHANA FOODS,Debit,"1,706.00",256656,UPI,TXN557318
15-Mar-24,21:12,AMZN-INTPYMT,DR,₹1555,255101,UPI,TXN857568
16-03-2024,08:47,BHIM SWIGGY,Debit,₹436,254325,UPI,TXN728958
16-03-2024,15:40,ZOMATO MEDIA P L,Debit,690,251832,UPI,TXN512064
16-Mar-24,19:52,UPI-BLINKIT-6907@PAYTM,DR,515,252522,UPI,TXN351318
16-03-2024,20:21,SWIGGY-INSTAMART,DR,606,253719,UPI,TXN560823
16-Mar-24,21:03,POS INSTAMART,DR,682,253037,UPI,TXN251950
16-03-2024,21:05,BUNDL Tech P L,DR,340,254761,UPI,TXN983687
17-03-2024,03:11,NETFLIX ENTERTAINMENT,DR,Rs. 550,249202,UPI,TXN975224
17-Mar-24,05:01,AMZN PRIME,Debit,₹1322,247880,UPI,TXN520515
17-Mar-24,05:10,BHIM ZEPTO,Debit,Rs. 405,249752,UPI,TXN601602
17-Mar-24,07:59,BWSSB WATER BILL,Debit,₹491,251341,UPI,TXN183985
17-Mar-24,08:55,BMTC BUS PASS,DR,₹27,247668,UPI,TXN810083
17-Mar-24,11:50,UPI-ZOMATO-LIMITED@PAYTM,Debit,274,247394,UPI,TXN189903
17-03-2024,16:20,TUMMOC-BMTC,DR,₹39,250157,UPI,TXN420389
17-Mar-24,17:09,UBER SYSTEMS INDIA,Debit,Rs. 185,247695,UPI,TXN335388
17-03-2024,22:30,UPI-RESTAURANT-7888@PAYTM,Debit,"Rs. 1,145",250196,UPI,TXN731364
18-03-2024,08:38,UPI-AMAZONPAY@HDFCBANK,Debit,622,246389,UPI,TXN143122
18-03-2024,09:32,POS OLA-PRIME,DR,Rs. 372,246017,UPI,TXN234082
18-Mar-24,13:44,Swiggy*Order,DR,₹383,247011,UPI,TXN346249
18-Mar-24,13:44,Swiggy*Order,DR,₹383,247011,UPI,TXN346249
19-Mar-24,02:57,UPI-AMAZONPAY@HDFCBANK,DR,4304,237133,UPI,TXN229660
19-03-2024,06:23,GROWW INVEST TECH,Debit,₹3761,242256,UPI,TXN872663
19-03-2024,08:58,UPI-CCD@HDFCBANK,DR,169,236580,UPI,TXN211222
19-03-2024,10:05,POS EMPIRE RESTAURANT,DR,₹1242,235338,UPI,TXN752596
19-Mar-24,10:18,BLINKIT BANGALORE,DR,384,236749,UPI,TXN651567
19-03-2024,18:09,BMS MOVIE TICKETS,DR,₹819,241437,UPI,TXN840255
20-Mar-24,03:04,STAR INDIA PVT LTD,DR,Rs. 438,542651,UPI,TXN712024
20-03-2024,11:47,POS ZOMATO,DR,509,230109,UPI,TXN582515
20-Mar-24,13:11,BUNDL TECH-INSTAMART,Debit,425,234181,UPI,TXN261621
20-03-2024,13:27,POS FLIPKART BANGALORE,DR,669,232956,UPI,TXN809298
20-03-2024,16:16,UBER SYSTEMS INDIA,Debit,₹321,230950,UPI,TXN512045
20-03-2024,16:19,UPI-IOC2000@HDFCBANK,DR,"Rs. 1,009",231271,UPI,TXN587227
20-03-2024,16:45,UPI-SWIGGY5466@OKAXIS,Debit,332,230618,UPI,TXN949352
20-03-2024,18:27,BUNDL Tech P L,Debit,Rs. 556,233625,UPI,TXN506941
20-Mar-24,19:09,ZOMATO-DINING,DR,Rs. 676,232280,UPI,TXN255825
20-Mar-24,19:46,ZEPTO MARKETPLACE,DR,Rs. 732,234606,UPI,TXN731548
20-Mar-24,20:47,RAPIDO BIKE TAXI,Debit,₹159,229950,UPI,TXN241677
20-Mar-24,21:32,UPI-SNEHA-0942@OKAXIS,DR,Rs. 266,-731810,UPI,TXN729557
21-03-2024,00:10,AMAZONIN MARKETPLACE,DR,"1,498.00",227833,UPI,TXN974343
21-03-2024,01:12,UPI-SWIGGY-2664@HDFCBANK,DR,619,229331,UPI,TXN255362
21-03-2024,12:06,BUNDL TECH-INSTAMART,Debit,Rs. 825,227008,UPI,TXN638292
22-Mar-24,06:27,Swiggy*Order,Debit,238,224817,UPI,TXN684080
22-Mar-24,08:38,JIOFIBER,Debit,565,225697,UPI,TXN870267
22-Mar-24,09:44,BHIM ZEPTO,Debit,677,224140,UPI,TXN211035
22-03-2024,15:54,BHIM-BLINKIT,DR,365,225332,UPI,TXN205805
